位於 at
午 afternoon
tourism tourism
正則 principle
半 half
华 china
triangle triangle
协 covariance
tourist tourist
卑 belcher
卒 stroke
卓 android
協 helped
单 single
卖 sell
南 south
冒犯 offend
公眾 public
博 bo
卜 bu
卞 bian
占 occupied
卡 card
外觀 external
卢 lou
卤 halogen
卦 gua
卧 lying
歌唱 singing
天文台 observatory
卫 guardian
利息 interest
卯 d
印 printing
危 minugua
航運 sailing
sword sword
即 that
却 but
卵 eggs
拓寬 extension
症候群 syndrome
卷 volume
卸 unloading
航道 channel
卻 citizen
卿 qing
抵御 resist
厂 factory
鳥取 shi
厄 unmee
打死 killed
厅 office
历 calendar
為什麼 why
厉 li
压 pressure
制式 standard
厘 bali
厚 thick
抱怨 complain
厝 cuo
威海 weihai
原 original
厢 van
厥 jue
厦 xia
厨 kitchen
誤解 misunderstood
優美 excellent
篠原 kiwamu
厲 harshly
去 to
县 county
参 parameter
參 participation
範圍 range
values values
又 and
叉 fork
及 and
友 boyfriend
双 double
反 against
point point
发 of
叔 uncle
取 take
受 affected
变 change
兒童 children
叙 reclassification
叛 apostasy
租金 rent
叟 man
叠 triassic
叡 hieizan
叢 bush
口 mouth
分支 branch
古 ancient
句 sentence
另 another
手法 technique
只 only
叫 called
地下鐵 subway
召 called
拓展 expand
叮 ding
可 can
台 console
史 history
右 right
武功 wugong
危地馬拉 guatemala
叶 leaf
号 resolution
司 secretary
武力 force
叹 sighed
叻 dalat
吃 eat
各 the
合 collection
吉 jimmy
吊 hanging
吋 inches
同 with
名 name
后 after
網際網路 internet
吏 collector
空缺 vacancies
吐 spit
向 to
吒 upbraid
吕 lu
功勞 work
吗 ?
分散 decentralized
君 june
大街 street
再現 now
killer killer
吞 swallow
大衛 david
吟 yin
分数 score
吡 pyrazole
貌似 seemingly
否 whether
吧 ,
吨 tons
含 containing
听 listen
court court
启 restart
吳 wu
吴 wu
吵 noisy
元素 element
分數 fractions
吸 suction
吹 blow
管家 housekeeper
吻 kiss
吼 roar
吾 my
呀 .
呂 lu
ethnicity ethnicity
呆 stay
拉巴 hyderabad
呈 is
正午 noon
告 tell
呎 feet
员 rapporteur
prevseason prevseason
sainte sainte
呢 ?
呤 methotrexate
學士學位 scholar
周 week
味 taste
呵 oh
妨礙 nuisance
呼 call
命 life
日本国 japan
咀 tsui
萬千 thousand
物种 species
和 and
切断 cut
評鑑 evaluation
咏 wing
鋪設 cobblestone
咒 curse
劣勢 inferior
咖 curry
扶桑 fuso
切斷 cut
richard richard
移轉 move
犧牲 sacrifice
count count
咨 consultative
咪 imidazole
咬 bite
咯 pyrrole
咱 we
咲 sakuya
博物院 museum
dfffdf dfffdf
咸 salty
咽 swallow
哀 mourning
品 product
分明 clear
beginning beginning
哆 pyridoxine
哇 wow
哈 saharan
哉 zai
响 rang
santa santa
央行 ecb
落入 hands
王国 kingdoms
featuring featuring
notice notice
歸入 into
員 members
正史 history
哥 brother
哦 oh
哨 whistle
哩 miles
哪 where
憑著 thin
物種 species
哭 cry
王國 kingdom
傳輸 transfer
哲 zhe
扶梯 escalator
不了了之 nothing
自首 surrender
正向 forward
唇 lips
骨骼 bones
正名 name
詮釋 interpret
零售商 retailers
唐 tang
唑 tinidazole
唔 well
gauge gauge
担当 play
残余 residual
抄本 codex
此后 thereafter
成田 narita
售 sale
唯 only
體長 grow
唱 sing
再生 regeneration
唸 studying
骨髓 marrow
司令部 command
努力 efforts
芙蓉 furong
公示 publicity
啄 peck
投放 put
商 provider
多謝 thank
啊 ah
几次 several
問 question
啓 kai
公社 commune
扶植 foster
拉开 opened
啟 inspired
側面 side
啥 what
啦 .
標籤 tags
could could
移送 transfer
武吉 bukit
萬名 visitors
啶 piperidine
啸 xiao
stuart stuart
喀 kerala
節奏 play
大角 bighorn
全称 name
喂 feed
喃 pyran
善 good
聯誼會 sorority
喇 raman
喉 throat
喊 shouted
振動 vibration
受害者 victims
担心 worry
喔 oh
喙 beak
喜 like
喝 drink
武夷山 wuyishan
光緒 light
傳送 send
全程 full
喪 depressed
喬 joe
單 single
喵 meow
喷 spray
分會 minutes
header header
喻 metonymy
光線 optical
problems problems
嗆 嗆
科長 branch
嗎 ?
模範 model
獨居 solitary
分期 staging
嗜 eosinophilic
公私 private
嗣 heir
妖精 goblin
嗯 well
戰爭 wars
花色 color
著作 works
競爭 competition
死刑 death
傳遞 transfer
拉德 rad
嘆 sighs
嘉 jia
傳道 legend
傳達 conveys
嘌 allopurinol
嘎 ga
cover cover
theatre theatre
嘗 taste
edits edits
媳婦 daughter-in-law
嘛 why
荒漠 desertification
抗日 anti-japanese
嘧 bensulfuron
試鏡 try
削弱 weaken
something something
花花 flower
熱量 calories
嘴 mouth
蔣經國 蔣
党籍 membership
外貌 appearance
刻意 deliberately
分析 analysis
扳機 machine
馬其頓 macedonia
動亂 chaos
高阳 gaoyang
憑藉 thin
歡喜 hi
勒令 ordered
玄奘 xuanzang
分枝 branched
劳动 labor
變為 becomes
光纖 fiber
器 manager
噪 noise
錄製 recording
噬 macrophages
噴 spray
噶 karmapa
所為 for
噸 tons
抱持 holding
ratio ratio
劇場 theater
冥王 hades
抵抗 resistance
優良 excellent
制成 made
刪掉 erase
董事 directors
惡魔 demon
義大利 italy
概述 overview
高階 high-tier
花草 flowers
抵押 mortgage
嚴 strict
动员 mobilization
模糊 fuzzy
簡介 simple
囉 hello
囊 cystic
典礼 ceremony
分校 at
诛杀 kill
前後 before
公立 public
linux linux
囗 kou
前往 visiting
囚 prisoners
四 four
特種 special
回 back
因 because
团 mission
囧 囧
拖延 delay
园 park
困 trapped
关税 tariff
歴史 history
围 wai
固 solid
国 country
图 figure
稱謂 called
高雄 kaohsiung
副官 aide
圃 pu
圆 round
圈 circle
國 country
圍 surrounded
園 park
圓 round
元老 senate
調解 adjust
圖 map
團 orchestra
土 soil
profession profession
狂熱 mania
圣 holy
刑期 sentence
在 in
圩 wei
歌声 song
圪 ge
動作 motion
圭 guido
地 to
圳 zhen
场 field
deathplace deathplace
圻 qi
典禮 etiquette
址 address
坂 ban
均 are
落叶 deciduous
坊 fang
坎 kan
模組 modular
坏 bad
foreign foreign
坐 sit
坑 pit
歷史 history
王妃 princess
块 block
坚 insisted
坛 altar
坝 dam
坞 docking
坟 grave
坠 crash
坡 slope
落后 behind
坤 sukhumvit
坦 titanic
坨 tuo
坪 ping
爆裂 burst
坳 depression
苏联 soviet
wings wings
答案 answer
特立 trinidad
護理 care
榮譽 greatness
垂 vertical
次序 order
垅 long
稱讚 praise
型 type
垌 dong
諡號 諡
勝仗 victory
垒 base
垓 gai
theater theater
多起 multiple
招式 moves
失誤 error
垛 duo
垟 yang
垣 yuan
垦 kenting
损伤 injury
媽媽 mom
垫 pad
死去 die
垭 wu
班上 class
垸 huan
埃 unmee
批次 batch
檢測 detect
manuel manuel
埋 buried
城 city
武器 weapons
埔 pu
埕 cheng
winds winds
埗 po
埝 nian
責任 responsibility
域 domain
埠 bu
嫉妒 jealous
埤 picheng
埭 dai
甲状腺 thyroid
大豆 soybean
執 execute
培 bacon
基 base
growth growth
特等 principal
堀 ku
堂 tang
判断 judgment
堅 strongly
堆 heap
招待 hospitality
負傷 negative
堇 cordierite
高音 treble
texas texas
大象 elephant
判斷 judged
堡 fort
堤 di
正在 is
奉行 pursue
堪 scandinavia
芭蕉 banana
堯 yau
堰 weir
報 poster
場 airport
堵 wall
复辟 restoration
堺 sakai
此地 here
塊 piece
塌 collapse
manual manual
反對黨 anti-party
加固 reinforcement
塑 plastic
塔 tower
威爾 seoul
塗 coloring
塘 tang
冰球 hockey
carrotkit carrotkit
塚 higashitotsuka
塞 unficyp
貝克 baker
chemistry chemistry
芭蕾 ballet
塢 hollywood
针对 for
拼寫 spell
填 fill
塬 yuan
諸葛 ge
利文 living
塵 dust
塾 keio
境 cross-border
墅 shu
墊 cushion
墓 tomb
墘 qi
墙 wall
談話 conversations
墜 falling
增 increase
墟 hui
教研室 department
捐出 donate
初期 early
墨 ink
墩 pier
写真 photo
墮 abortion
fusion fusion
墳 graves
shell shell
臺北市 taipei
利於 benefit
抵擋 resist
墾 settlements
壁 wall
billy billy
united united
壇 altar
monarch monarch
miles miles
壓 pressure
壕 hao
天賦 talent
壘 softball
lyrics lyrics
壞 bad
始祖 ancestor
壤 soil
壩 dams
士 tips
壬 nonylphenol
壮 strong
壯 spectacular
声 sound
壳 shell
天文学 astronomy
壶 pot
壹 one
壺 pot
壽 longevity
college college
处 secretariat
备 prepared
复 complex
夏 summer
芬蘭 finland
公約 about
拍手 clap
夔 kui
大赦 amnesty
夕 overnight
外 outside
多 much
jerry jerry
夜 night
够 enough
夠 enough
夢 dream
意願 willing
夥 partners
大 big
天 days
太 too
夫 basf
王子 prince
拉拉 lesbian
拇指 thumb
央 authorities
animation animation
夯 compaction
失 loss
头 head
击毙 killed
夷 wuyi
夸 boast
戰略 tactical
夹 favorites
夺 take
夼 kuang
夾 drum
奧斯汀 austin
典範 code
奇 parity
奈 cornell
奉 serve
奋 fen
kelly kelly
奎 kṛṣṇa
奏 played
契 lease
奔 ben
奕 wilson
捐助 donors
中下游 middle
奖 award
套 nested
竹田 shutian
奚 xi
cathedral cathedral
舰长 captain
奠 lay
簽下 signed
奥 austenite
奧 leo
奪 captured
奬 awards
豐富 rich
奭 奭
女 female
艦載 fleet
奴 slave
奶 milk
王室 royal
奸 rape
她 she
好 good
指定 specified
牛肉 beef
菱形 diamond
如 as
妃 taffy
现场 scene
妄 jump
王家 wangs
妇 unifem
妈 mom
sarah sarah
妍 shes
妖 lich
妙 wonderful
妝 cleansing
妞 girl
read read
大路 road
妤 hsueh
妥 duly
real real
實質上 actually
妮 connie
妲 dalia
妳 you
穿著 wearing
妹 sister
力士 rexroth
妻 wife
妾 concubine
gear gear
貝勒 le
姆 sam
看守所 jail
姊 sister
始 began
姍 姍
姐 sister
姑 gu
rect rect
姓 name
委 chairman
儲蓄 storage
姚 yao
姜 ginger
姝 girls
典籍 books
关系 relationship
姨 aunt
指導 directed
姫 himeji
姬 maggie
application application
姵 pei
博物館 museum
nextseason nextseason
舰队 fleet
姿 posture
威 william
reason reason
娃 eva
娄 lou
娅 ya
玉山 yushan
娇 jiao
词汇 vocabulary
體驗 experience
娘 niang
annual annual
娛 entertainment
娜 serena
娟 juan
娣 di
娥 e
狐狸 fox
分歧 differences
demand demand
營造 camp
娱 entertainment
省政府 provincial
娶 marry
此外 furthermore
婁 lou
營運 camp
套装 suit
婆 shiva
武士 samurai
婉 wan
財務 wealth
該隊 team
殺人 kill
船長 captain
刷新 refresh
婕 jasmine
taken taken
技法 techniques
男高音 tenor
婚 married
光芒 light
分段 subparagraph
功夫 kungfu
婦 couple
扮演 play
獲得 get
動力 force
婭 tricia
套裝 installation
正如 as
婴 baby
抱有 have
婷 ting
正好 just
婺 beauteous
現今 now
落地 floor
警示 warning
著名 famous
fischer fischer
加大 increase
媒 media
无机化合物 inorganic
外部 external
媚 melanie
媛 gentle
歸國 country
加奈 conor
現代 contemporary
英美 anglo-american
estadio estadio
現任 now
成立 established
出海 sea
媽 mom
嫁 marry
嫂 sister-in-law
死因 death
嫌 too
所生 born
嫔 wives
嫡 di
平方米 sqm
嫣 yan
到期 due
勝利 victory
嫩 tender
嫻 嫻
嬅 miriam
嬌 delicate
失踪 missing
多明尼加 dominican
手球 handball
簡化 simplified
站立 stand
生物學家 biologists
草甸 meadow
論證 theory
章程 regulation
gene gene
前提 premise
嬪 嬪
創建 create
站站 station
光荣 glorious
嬰 baby
sunday sunday
嬴 win
變異 variance
利根 tone
到来 coming
subordo subordo
harry harry
理事 governing
挽回 save
子 child
篇幅 length
孔 hole
孕 maternal
武威 wuwei
孖 margin
字 word
存 save
失蹤 missing
孙 sun
孚 ef
孛 báb
孜 zi
孝 xiao
孟 meng
architecture architecture
船隊 team
孢 cephalosporins
季 quarter
孤 solitary
学 learn
重要性 importance
孩 child
孫 grandchildren
藝術品 art
селі селі
拘捕 arrested
interwiki interwiki
外野 outfield
學 school
玉川 tamagawa
孽 sins
宁 ning
它 it
宅 zhai
宇 yu
守 keep
安 an
宋 song
完 finish
公署 icac
分泌 secretion
宏 macro
宗 cases
官 officer
宙 proterozoic
定 set
宛 wan
宜 ibis
款式 style
宝 bao
制服 uniform
实 real
宠 pet
审 tribunal
客 guest
機種 machine
宣 xuan
室 room
marshall marshall
宥 tai
宦 huan
宪 gazette
宫 palace
billboard billboard
宮 palace
爬行 crawling
宰 kill
船隻 ship
懲罰 punishment
害 harm
宴 wedding
宵 night
家 home
兩者 two
宸 chen
容 tolerance
宽 wide
勞動 labor
宾 bingo
筑波 zhubo
宿 breakfasts
該項 project
寂 silence
寄 send
寅 colleagues
密 key
移除 removing
寇 zuko
captain captain
富 rich
克莱 clay
寒 cold
寓 yu
入股 shares
太过 too
動向 motion
大通 chase
sheet sheet
寛 forgiveness
寝 sleep
察 srebrenica
寡 oligonucleotide
實 actually
寧 ningbo
寨 zhai
審 retrial
話題 topic
寫 write
阿拉伯文 arabic
寬 wide
寮 squatter
寰 atlantoaxial
分流 shunt
勢力 force
寵 pet
寶 baby
寸 inch
多重 multiple
对 right
寺 temple
寻 find
拍攝 shoot
导 guide
寿 life
封 letter
射 shot
全職 full-career
将 will
將 will
大道 avenue
專 exclusive
longnote longnote
wedge wedge
尉 commandant
尊 statue
尋 extraordinary
授予 granted
對 right
導 seyh
小 small
少 less
掉了 dropped
尔 bill
克萊 berkeley
尕 ga
尖 tsim
complex complex
nationalcaps nationalcaps
尘 dust
尚 is
挪威 norway
cinema cinema
每一 each
打球 play
尝 taste
力学 mechanical
象山 xiangshan
尤 especially
尧 yao
嬰兒 baby
verlag verlag
就 on
尸 morgue
尹 yin
尺 feet
尻 kao
尼 nick
迪士尼 disney
尽 do
尾 tail
尿 urine
局 council
天道 heaven
层 layer
居 habitat
屆 she
屈 flexor
debutteam debutteam
届 session
屋 house
屍 autopsy
屎 excrement
屏 screen
出演 play
调查 investigation
拥护 advocates
展 exhibition
刻本 edition
属 is
屠 slaughterhouse
屡 repeatedly
大邱 daegu
屢 floundering
層 layer
履 footwear
屬 metal
屯 tun
太過 too
山 mountain
王座 throne
好處 good
王府 palace
屿 yu
勤務 service
岁 age
岂 ye
谋杀 murder
嫡子 shang
欧拉 euler
岐 qi
岑 cen
岔 bifurcation
岗 gang
秘魯 secret
岘 xian
岙 ao
正宗 authentic
岚 lan
歌劇院 theatre
岛 island
programming programming
全能 almighty
試驗 experiment
岡 oregon
動員 athletes
岩 rock
岫 xiu
正室 zhengshi
岬 cape
岭 ling
初次 initial
岱 dai
岳 yue
岷 min
捷克 czech
岸 bank
大都 most
峁 mao
則是 is
每人 each
sierra sierra
峇 bali
比丘 monks
印第安人 indians
峙 zhi
client client
始終 eventually
峡 gorge
指引 guidelines
初步 preliminary
毕业 graduation
峨 emei
峪 yu
刑法 penal
武安 wuan
太郎 taro
章節 chapter
峯 peak
峰 peak
島 island
葡萄牙 portugal
峻 june
萨尔 thrall
武宗 vouzon
峽 canyon
tunnel tunnel
武官 attaches
投注 betting
崁 erhkan
独特 unique
前方 front
崇 chong
声音 voice
貨品 goods
總司令 commander
崎 qi
模范 model
崑 kun
崔 cui
崖 ya
崗 longgang
菩提 bodhi
崙 kunlun
玩家 players
諮詢 advisor
director director
崧 song
崩 collapse
加密 encryption
崮 gu
創意 creative
崴 wei
christopher christopher
賜予 give
業餘 remainder
錯誤 mistakes
比亞 adam
嵊 sheng
嵌 nested
賢一 謙賢
亞伯拉罕 euphrates
嵐 岚忻
每位 each
programme programme
break break
嵩 kobresia
加封 sealed
武将 generals
奇跡 miracle
算是 is
大量 large
合众国 union
大里 tali
則會 will
gfdl gfdl
簡單 simple
狩獵 hunting
所知 know
字串 string
副手 deputy
招收 recruit
節慶 festivals
嶺 fanling
嶼 islands
嶽 chow
籌備 raising
前景 prospects
隸屬於 slave
巍 wei
天野 amano
五十二 52
一氧化碳 co
